Series Name	Series Code	Country Name	Country Code	2014 [YR2014]
Income share held by second 20%	SI.DST.02ND.20	Malaysia	MYS	..
Income share held by second 20%	SI.DST.02ND.20	Maldives	MDV	..
Income share held by second 20%	SI.DST.02ND.20	Mali	MLI	..
Income share held by second 20%	SI.DST.02ND.20	Malta	MLT	..
Income share held by second 20%	SI.DST.02ND.20	Marshall Islands	MHL	..
Income share held by second 20%	SI.DST.02ND.20	Mauritania	MRT	..
Income share held by second 20%	SI.DST.02ND.20	Mauritius	MUS	..
Income share held by second 20%	SI.DST.02ND.20	Mexico	MEX	..
Income share held by second 20%	SI.DST.02ND.20	Micronesia, Fed. Sts.	FSM	..
Income share held by second 20%	SI.DST.02ND.20	Moldova	MDA	..
Income share held by second 20%	SI.DST.02ND.20	Monaco	MCO	..
Income share held by second 20%	SI.DST.02ND.20	Mongolia	MNG	..
Income share held by second 20%	SI.DST.02ND.20	Montenegro	MNE	..
Income share held by second 20%	SI.DST.02ND.20	Morocco	MAR	..
Income share held by second 20%	SI.DST.02ND.20	Mozambique	MOZ	..
Income share held by second 20%	SI.DST.02ND.20	Myanmar	MMR	..
Income share held by second 20%	SI.DST.02ND.20	Namibia	NAM	..
Income share held by second 20%	SI.DST.02ND.20	Nepal	NPL	..
Income share held by second 20%	SI.DST.02ND.20	Netherlands	NLD	..
Income share held by second 20%	SI.DST.02ND.20	New Caledonia	NCL	..
Income share held by second 20%	SI.DST.02ND.20	New Zealand	NZL	..
Income share held by second 20%	SI.DST.02ND.20	Nicaragua	NIC	..
Income share held by second 20%	SI.DST.02ND.20	Niger	NER	..
Income share held by second 20%	SI.DST.02ND.20	Nigeria	NGA	..
Income share held by second 20%	SI.DST.02ND.20	Northern Mariana Islands	MNP	..
Income share held by second 20%	SI.DST.02ND.20	Norway	NOR	..
Income share held by second 20%	SI.DST.02ND.20	Oman	OMN	..
Income share held by second 20%	SI.DST.02ND.20	Pakistan	PAK	..
Income share held by second 20%	SI.DST.02ND.20	Palau	PLW	..
Income share held by second 20%	SI.DST.02ND.20	Panama	PAN	..
Income share held by second 20%	SI.DST.02ND.20	Papua New Guinea	PNG	..
Income share held by second 20%	SI.DST.02ND.20	Paraguay	PRY	..
Income share held by second 20%	SI.DST.02ND.20	Peru	PER	..
Income share held by second 20%	SI.DST.02ND.20	Philippines	PHL	..
Income share held by second 20%	SI.DST.02ND.20	Poland	POL	..
Income share held by second 20%	SI.DST.02ND.20	Portugal	PRT	..
Income share held by second 20%	SI.DST.02ND.20	Puerto Rico	PRI	..
Income share held by second 20%	SI.DST.02ND.20	Qatar	QAT	..
Income share held by second 20%	SI.DST.02ND.20	Romania	ROM	..
Income share held by second 20%	SI.DST.02ND.20	Russian Federation	RUS	..
Income share held by second 20%	SI.DST.02ND.20	Rwanda	RWA	..
Income share held by second 20%	SI.DST.02ND.20	Samoa	WSM	..
Income share held by second 20%	SI.DST.02ND.20	San Marino	SMR	..
Income share held by second 20%	SI.DST.02ND.20	Sao Tome and Principe	STP	..
Income share held by second 20%	SI.DST.02ND.20	Saudi Arabia	SAU	..
Income share held by second 20%	SI.DST.02ND.20	Senegal	SEN	..
Income share held by second 20%	SI.DST.02ND.20	Serbia	SRB	..
Income share held by second 20%	SI.DST.02ND.20	Seychelles	SYC	..
Income share held by second 20%	SI.DST.02ND.20	Sierra Leone	SLE	..
Income share held by second 20%	SI.DST.02ND.20	Singapore	SGP	..
Income share held by second 20%	SI.DST.02ND.20	Sint Maarten (Dutch part)	SXM	..
Income share held by second 20%	SI.DST.02ND.20	Slovak Republic	SVK	..
Income share held by second 20%	SI.DST.02ND.20	Slovenia	SVN	..
Income share held by second 20%	SI.DST.02ND.20	Solomon Islands	SLB	..
Income share held by second 20%	SI.DST.02ND.20	Somalia	SOM	..
Income share held by second 20%	SI.DST.02ND.20	South Africa	ZAF	..
Income share held by second 20%	SI.DST.02ND.20	South Sudan	SSD	..
Income share held by second 20%	SI.DST.02ND.20	Spain	ESP	..
Income share held by second 20%	SI.DST.02ND.20	Sri Lanka	LKA	..
Income share held by second 20%	SI.DST.02ND.20	St. Kitts and Nevis	KNA	..
Income share held by second 20%	SI.DST.02ND.20	St. Lucia	LCA	..
Income share held by second 20%	SI.DST.02ND.20	St. Martin (French part)	MAF	..
Income share held by second 20%	SI.DST.02ND.20	St. Vincent and the Grenadines	VCT	..
Income share held by second 20%	SI.DST.02ND.20	Sudan	SDN	..
Income share held by second 20%	SI.DST.02ND.20	Suriname	SUR	..
Income share held by second 20%	SI.DST.02ND.20	Swaziland	SWZ	..
Income share held by second 20%	SI.DST.02ND.20	Sweden	SWE	..
Income share held by second 20%	SI.DST.02ND.20	Switzerland	CHE	..
Income share held by second 20%	SI.DST.02ND.20	Syrian Arab Republic	SYR	..
Income share held by second 20%	SI.DST.02ND.20	Taiwan, China	TWN	..
Income share held by second 20%	SI.DST.02ND.20	Tajikistan	TJK	..
Income share held by second 20%	SI.DST.02ND.20	Tanzania	TZA	..
Income share held by second 20%	SI.DST.02ND.20	Thailand	THA	..
Income share held by second 20%	SI.DST.02ND.20	Timor-Leste	TMP	..
Income share held by second 20%	SI.DST.02ND.20	Togo	TGO	..
Income share held by second 20%	SI.DST.02ND.20	Tonga	TON	..
Income share held by second 20%	SI.DST.02ND.20	Trinidad and Tobago	TTO	..
Income share held by second 20%	SI.DST.02ND.20	Tunisia	TUN	..
Income share held by second 20%	SI.DST.02ND.20	Turkey	TUR	..
Income share held by second 20%	SI.DST.02ND.20	Turkmenistan	TKM	..
Income share held by second 20%	SI.DST.02ND.20	Turks and Caicos Islands	TCA	..
Income share held by second 20%	SI.DST.02ND.20	Tuvalu	TUV	..
Income share held by second 20%	SI.DST.02ND.20	Uganda	UGA	..
Income share held by second 20%	SI.DST.02ND.20	Ukraine	UKR	..
Income share held by second 20%	SI.DST.02ND.20	United Arab Emirates	ARE	..
Income share held by second 20%	SI.DST.02ND.20	United Kingdom	GBR	..
Income share held by second 20%	SI.DST.02ND.20	United States	USA	..
Income share held by second 20%	SI.DST.02ND.20	Uruguay	URY	..
Income share held by second 20%	SI.DST.02ND.20	Uzbekistan	UZB	..
Income share held by second 20%	SI.DST.02ND.20	Vanuatu	VUT	..
Income share held by second 20%	SI.DST.02ND.20	Venezuela, RB	VEN	..
Income share held by second 20%	SI.DST.02ND.20	Vietnam	VNM	..
Income share held by second 20%	SI.DST.02ND.20	Virgin Islands (U.S.)	VIR	..
Income share held by second 20%	SI.DST.02ND.20	West Bank and Gaza	WBG	..
Income share held by second 20%	SI.DST.02ND.20	Yemen, Rep.	YEM	..
Income share held by second 20%	SI.DST.02ND.20	Zambia	ZMB	..
Income share held by second 20%	SI.DST.02ND.20	Zimbabwe	ZWE	..
Income share held by third 20%	SI.DST.03RD.20	Afghanistan	AFG	..
Income share held by third 20%	SI.DST.03RD.20	Albania	ALB	..
Income share held by third 20%	SI.DST.03RD.20	Algeria	DZA	..
Income share held by third 20%	SI.DST.03RD.20	American Samoa	ASM	..
Income share held by third 20%	SI.DST.03RD.20	Andorra	ADO	..
Income share held by third 20%	SI.DST.03RD.20	Angola	AGO	..
Income share held by third 20%	SI.DST.03RD.20	Antigua and Barbuda	ATG	..
Income share held by third 20%	SI.DST.03RD.20	Argentina	ARG	..
Income share held by third 20%	SI.DST.03RD.20	Armenia	ARM	..
Income share held by third 20%	SI.DST.03RD.20	Aruba	ABW	..
Income share held by third 20%	SI.DST.03RD.20	Australia	AUS	..
Income share held by third 20%	SI.DST.03RD.20	Austria	AUT	..
Income share held by third 20%	SI.DST.03RD.20	Azerbaijan	AZE	..
Income share held by third 20%	SI.DST.03RD.20	Bahamas, The	BHS	..
Income share held by third 20%	SI.DST.03RD.20	Bahrain	BHR	..
Income share held by third 20%	SI.DST.03RD.20	Bangladesh	BGD	..
Income share held by third 20%	SI.DST.03RD.20	Barbados	BRB	..
Income share held by third 20%	SI.DST.03RD.20	Belarus	BLR	..
Income share held by third 20%	SI.DST.03RD.20	Belgium	BEL	..
Income share held by third 20%	SI.DST.03RD.20	Belize	BLZ	..
Income share held by third 20%	SI.DST.03RD.20	Benin	BEN	..
Income share held by third 20%	SI.DST.03RD.20	Bermuda	BMU	..
Income share held by third 20%	SI.DST.03RD.20	Bhutan	BTN	..
Income share held by third 20%	SI.DST.03RD.20	Bolivia	BOL	..
Income share held by third 20%	SI.DST.03RD.20	Bosnia and Herzegovina	BIH	..
Income share held by third 20%	SI.DST.03RD.20	Botswana	BWA	..
Income share held by third 20%	SI.DST.03RD.20	Brazil	BRA	..
Income share held by third 20%	SI.DST.03RD.20	Brunei Darussalam	BRN	..
Income share held by third 20%	SI.DST.03RD.20	Bulgaria	BGR	..
Income share held by third 20%	SI.DST.03RD.20	Burkina Faso	BFA	..
Income share held by third 20%	SI.DST.03RD.20	Burundi	BDI	..
Income share held by third 20%	SI.DST.03RD.20	Cabo Verde	CPV	..
Income share held by third 20%	SI.DST.03RD.20	Cambodia	KHM	..
Income share held by third 20%	SI.DST.03RD.20	Cameroon	CMR	..
Income share held by third 20%	SI.DST.03RD.20	Canada	CAN	..
Income share held by third 20%	SI.DST.03RD.20	Cayman Islands	CYM	..
Income share held by third 20%	SI.DST.03RD.20	Central African Republic	CAF	..
Income share held by third 20%	SI.DST.03RD.20	Chad	TCD	..
Income share held by third 20%	SI.DST.03RD.20	Channel Islands	CHI	..
Income share held by third 20%	SI.DST.03RD.20	Chile	CHL	..
Income share held by third 20%	SI.DST.03RD.20	China	CHN	..
Income share held by third 20%	SI.DST.03RD.20	Colombia	COL	..
Income share held by third 20%	SI.DST.03RD.20	Comoros	COM	..
Income share held by third 20%	SI.DST.03RD.20	Congo, Dem. Rep.	ZAR	..
Income share held by third 20%	SI.DST.03RD.20	Congo, Rep.	COG	..
Income share held by third 20%	SI.DST.03RD.20	Costa Rica	CRI	..
Income share held by third 20%	SI.DST.03RD.20	Cote d'Ivoire	CIV	..
Income share held by third 20%	SI.DST.03RD.20	Croatia	HRV	..
Income share held by third 20%	SI.DST.03RD.20	Cuba	CUB	..
Income share held by third 20%	SI.DST.03RD.20	Curacao	CUW	..
Income share held by third 20%	SI.DST.03RD.20	Cyprus	CYP	..
Income share held by third 20%	SI.DST.03RD.20	Czech Republic	CZE	..
Income share held by third 20%	SI.DST.03RD.20	Denmark	DNK	..
Income share held by third 20%	SI.DST.03RD.20	Djibouti	DJI	..
Income share held by third 20%	SI.DST.03RD.20	Dominica	DMA	..
Income share held by third 20%	SI.DST.03RD.20	Dominican Republic	DOM	..
Income share held by third 20%	SI.DST.03RD.20	Ecuador	ECU	..
Income share held by third 20%	SI.DST.03RD.20	Egypt, Arab Rep.	EGY	..
Income share held by third 20%	SI.DST.03RD.20	El Salvador	SLV	..
Income share held by third 20%	SI.DST.03RD.20	Equatorial Guinea	GNQ	..
Income share held by third 20%	SI.DST.03RD.20	Eritrea	ERI	..
Income share held by third 20%	SI.DST.03RD.20	Estonia	EST	..
Income share held by third 20%	SI.DST.03RD.20	Ethiopia	ETH	..
Income share held by third 20%	SI.DST.03RD.20	Faeroe Islands	FRO	..
Income share held by third 20%	SI.DST.03RD.20	Fiji	FJI	..
Income share held by third 20%	SI.DST.03RD.20	Finland	FIN	..
Income share held by third 20%	SI.DST.03RD.20	France	FRA	..
Income share held by third 20%	SI.DST.03RD.20	French Polynesia	PYF	..
Income share held by third 20%	SI.DST.03RD.20	Gabon	GAB	..
Income share held by third 20%	SI.DST.03RD.20	Gambia, The	GMB	..
Income share held by third 20%	SI.DST.03RD.20	Georgia	GEO	..
Income share held by third 20%	SI.DST.03RD.20	Germany	DEU	..
Income share held by third 20%	SI.DST.03RD.20	Ghana	GHA	..
Income share held by third 20%	SI.DST.03RD.20	Greece	GRC	..
Income share held by third 20%	SI.DST.03RD.20	Greenland	GRL	..
Income share held by third 20%	SI.DST.03RD.20	Grenada	GRD	..
Income share held by third 20%	SI.DST.03RD.20	Guam	GUM	..
Income share held by third 20%	SI.DST.03RD.20	Guatemala	GTM	..
Income share held by third 20%	SI.DST.03RD.20	Guinea	GIN	..
Income share held by third 20%	SI.DST.03RD.20	Guinea-Bissau	GNB	..
Income share held by third 20%	SI.DST.03RD.20	Guyana	GUY	..
Income share held by third 20%	SI.DST.03RD.20	Haiti	HTI	..
Income share held by third 20%	SI.DST.03RD.20	Honduras	HND	..
Income share held by third 20%	SI.DST.03RD.20	Hong Kong SAR, China	HKG	..
Income share held by third 20%	SI.DST.03RD.20	Hungary	HUN	..
Income share held by third 20%	SI.DST.03RD.20	Iceland	ISL	..
Income share held by third 20%	SI.DST.03RD.20	India	IND	..
Income share held by third 20%	SI.DST.03RD.20	Indonesia	IDN	..
Income share held by third 20%	SI.DST.03RD.20	Iran, Islamic Rep.	IRN	..
Income share held by third 20%	SI.DST.03RD.20	Iraq	IRQ	..
Income share held by third 20%	SI.DST.03RD.20	Ireland	IRL	..
Income share held by third 20%	SI.DST.03RD.20	Isle of Man	IMY	..
Income share held by third 20%	SI.DST.03RD.20	Israel	ISR	..
Income share held by third 20%	SI.DST.03RD.20	Italy	ITA	..
Income share held by third 20%	SI.DST.03RD.20	Jamaica	JAM	..
Income share held by third 20%	SI.DST.03RD.20	Japan	JPN	..
Income share held by third 20%	SI.DST.03RD.20	Jordan	JOR	..
Income share held by third 20%	SI.DST.03RD.20	Kazakhstan	KAZ	..
Income share held by third 20%	SI.DST.03RD.20	Kenya	KEN	..
Income share held by third 20%	SI.DST.03RD.20	Kiribati	KIR	..
Income share held by third 20%	SI.DST.03RD.20	Korea, Dem. Rep.	PRK	..
Income share held by third 20%	SI.DST.03RD.20	Korea, Rep.	KOR	..
Income share held by third 20%	SI.DST.03RD.20	Kosovo	KSV	..
Income share held by third 20%	SI.DST.03RD.20	Kuwait	KWT	..
Income share held by third 20%	SI.DST.03RD.20	Kyrgyz Republic	KGZ	..
Income share held by third 20%	SI.DST.03RD.20	Lao PDR	LAO	..
Income share held by third 20%	SI.DST.03RD.20	Latvia	LVA	..
Income share held by third 20%	SI.DST.03RD.20	Lebanon	LBN	..
Income share held by third 20%	SI.DST.03RD.20	Lesotho	LSO	..
Income share held by third 20%	SI.DST.03RD.20	Liberia	LBR	..
Income share held by third 20%	SI.DST.03RD.20	Libya	LBY	..
Income share held by third 20%	SI.DST.03RD.20	Liechtenstein	LIE	..
Income share held by third 20%	SI.DST.03RD.20	Lithuania	LTU	..
Income share held by third 20%	SI.DST.03RD.20	Luxembourg	LUX	..
Income share held by third 20%	SI.DST.03RD.20	Macao SAR, China	MAC	..
Income share held by third 20%	SI.DST.03RD.20	Macedonia, FYR	MKD	..
Income share held by third 20%	SI.DST.03RD.20	Madagascar	MDG	..
Income share held by third 20%	SI.DST.03RD.20	Malawi	MWI	..
Income share held by third 20%	SI.DST.03RD.20	Malaysia	MYS	..
Income share held by third 20%	SI.DST.03RD.20	Maldives	MDV	..
Income share held by third 20%	SI.DST.03RD.20	Mali	MLI	..
Income share held by third 20%	SI.DST.03RD.20	Malta	MLT	..
Income share held by third 20%	SI.DST.03RD.20	Marshall Islands	MHL	..
Income share held by third 20%	SI.DST.03RD.20	Mauritania	MRT	..
Income share held by third 20%	SI.DST.03RD.20	Mauritius	MUS	..
Income share held by third 20%	SI.DST.03RD.20	Mexico	MEX	..
Income share held by third 20%	SI.DST.03RD.20	Micronesia, Fed. Sts.	FSM	..
Income share held by third 20%	SI.DST.03RD.20	Moldova	MDA	..
Income share held by third 20%	SI.DST.03RD.20	Monaco	MCO	..
Income share held by third 20%	SI.DST.03RD.20	Mongolia	MNG	..
Income share held by third 20%	SI.DST.03RD.20	Montenegro	MNE	..
Income share held by third 20%	SI.DST.03RD.20	Morocco	MAR	..
Income share held by third 20%	SI.DST.03RD.20	Mozambique	MOZ	..
Income share held by third 20%	SI.DST.03RD.20	Myanmar	MMR	..
Income share held by third 20%	SI.DST.03RD.20	Namibia	NAM	..
Income share held by third 20%	SI.DST.03RD.20	Nepal	NPL	..
Income share held by third 20%	SI.DST.03RD.20	Netherlands	NLD	..
Income share held by third 20%	SI.DST.03RD.20	New Caledonia	NCL	..
Income share held by third 20%	SI.DST.03RD.20	New Zealand	NZL	..
Income share held by third 20%	SI.DST.03RD.20	Nicaragua	NIC	..
Income share held by third 20%	SI.DST.03RD.20	Niger	NER	..
Income share held by third 20%	SI.DST.03RD.20	Nigeria	NGA	..
Income share held by third 20%	SI.DST.03RD.20	Northern Mariana Islands	MNP	..
Income share held by third 20%	SI.DST.03RD.20	Norway	NOR	..
Income share held by third 20%	SI.DST.03RD.20	Oman	OMN	..
Income share held by third 20%	SI.DST.03RD.20	Pakistan	PAK	..
Income share held by third 20%	SI.DST.03RD.20	Palau	PLW	..
Income share held by third 20%	SI.DST.03RD.20	Panama	PAN	..
Income share held by third 20%	SI.DST.03RD.20	Papua New Guinea	PNG	..
Income share held by third 20%	SI.DST.03RD.20	Paraguay	PRY	..
Income share held by third 20%	SI.DST.03RD.20	Peru	PER	..
Income share held by third 20%	SI.DST.03RD.20	Philippines	PHL	..
Income share held by third 20%	SI.DST.03RD.20	Poland	POL	..
Income share held by third 20%	SI.DST.03RD.20	Portugal	PRT	..
Income share held by third 20%	SI.DST.03RD.20	Puerto Rico	PRI	..
Income share held by third 20%	SI.DST.03RD.20	Qatar	QAT	..
Income share held by third 20%	SI.DST.03RD.20	Romania	ROM	..
Income share held by third 20%	SI.DST.03RD.20	Russian Federation	RUS	..
Income share held by third 20%	SI.DST.03RD.20	Rwanda	RWA	..
Income share held by third 20%	SI.DST.03RD.20	Samoa	WSM	..
Income share held by third 20%	SI.DST.03RD.20	San Marino	SMR	..
Income share held by third 20%	SI.DST.03RD.20	Sao Tome and Principe	STP	..
Income share held by third 20%	SI.DST.03RD.20	Saudi Arabia	SAU	..
Income share held by third 20%	SI.DST.03RD.20	Senegal	SEN	..
Income share held by third 20%	SI.DST.03RD.20	Serbia	SRB	..
Income share held by third 20%	SI.DST.03RD.20	Seychelles	SYC	..
Income share held by third 20%	SI.DST.03RD.20	Sierra Leone	SLE	..
Income share held by third 20%	SI.DST.03RD.20	Singapore	SGP	..
Income share held by third 20%	SI.DST.03RD.20	Sint Maarten (Dutch part)	SXM	..
Income share held by third 20%	SI.DST.03RD.20	Slovak Republic	SVK	..
Income share held by third 20%	SI.DST.03RD.20	Slovenia	SVN	..
Income share held by third 20%	SI.DST.03RD.20	Solomon Islands	SLB	..
Income share held by third 20%	SI.DST.03RD.20	Somalia	SOM	..
Income share held by third 20%	SI.DST.03RD.20	South Africa	ZAF	..
Income share held by third 20%	SI.DST.03RD.20	South Sudan	SSD	..
Income share held by third 20%	SI.DST.03RD.20	Spain	ESP	..
Income share held by third 20%	SI.DST.03RD.20	Sri Lanka	LKA	..
Income share held by third 20%	SI.DST.03RD.20	St. Kitts and Nevis	KNA	..
Income share held by third 20%	SI.DST.03RD.20	St. Lucia	LCA	..
Income share held by third 20%	SI.DST.03RD.20	St. Martin (French part)	MAF	..
Income share held by third 20%	SI.DST.03RD.20	St. Vincent and the Grenadines	VCT	..
Income share held by third 20%	SI.DST.03RD.20	Sudan	SDN	..
Income share held by third 20%	SI.DST.03RD.20	Suriname	SUR	..
Income share held by third 20%	SI.DST.03RD.20	Swaziland	SWZ	..
Income share held by third 20%	SI.DST.03RD.20	Sweden	SWE	..
Income share held by third 20%	SI.DST.03RD.20	Switzerland	CHE	..
Income share held by third 20%	SI.DST.03RD.20	Syrian Arab Republic	SYR	..
Income share held by third 20%	SI.DST.03RD.20	Taiwan, China	TWN	..
Income share held by third 20%	SI.DST.03RD.20	Tajikistan	TJK	..
Income share held by third 20%	SI.DST.03RD.20	Tanzania	TZA	..
